"Number","Reported Date/Time","Occurred From Date/Time","Location","Description","Disposition"
"2024-00006988","04/22/2024 16:19","03/31/2024 16:21","51 E John St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00006998","04/22/2024 18:02","04/22/2024 18:02","1401 W Green St, Urbana","DISORDERLY CONDUCT-ALL OTHER","Administratively Closed"
"2024-00007034","04/23/2024 04:17","04/23/2024 04:00","1804 S Neil St, Champaign","BURGLARY-BUILDING","Cleared by Arrest, Juvenile"
"2024-00007034","04/23/2024 04:17","04/23/2024 04:00","1804 S Neil St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Cleared by Arrest, Juvenile"
"2024-00007045","04/23/2024 09:34","04/22/2024 16:00","1301 Springfield Av, Urbana","MOTOR VEHICLE THEFT","Cleared by Arrest, Juvenile"
"2024-00007045","04/23/2024 09:34","04/22/2024 16:00","1301 Springfield Av, Urbana","CRIMINAL DAMAGE TO PROPERTY","Cleared by Arrest, Juvenile"
"2024-00007045","04/23/2024 09:34","04/22/2024 16:00","1301 Springfield Av, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest, Juvenile"
"2024-00007047","04/23/2024 11:54","04/22/2024 16:00","102 Gregory Dr, Champaign","IDENTITY THEFT","Cleared by Arrest"
"2024-00007047","04/23/2024 11:54","04/22/2024 16:00","102 Gregory Dr, Champaign","FRAUD-WIRE","Cleared by Arrest"
"2024-00007047","04/23/2024 11:54","04/22/2024 16:00","102 Gregory Dr, Champaign","BURGLARY-FROM MOTOR VEHICLE","Cleared by Arrest"
"2024-00007047","04/23/2024 11:54","04/22/2024 16:00","102 Gregory Dr, Champaign","STOLEN PROPERTY-POSSESSION OF","Cleared by Arrest"
"2024-00007050","04/23/2024 15:46","04/14/2024 14:00","29 E Green St, Champaign","FRAUD-WIRE","Administratively Closed"
"2024-00007097","04/24/2024 12:21","04/18/2024 10:00","1110 W Green St, Urbana","DECEPTIVE PRACTICES - GENERAL","Administratively Closed"
"2024-00007097","04/24/2024 12:21","04/18/2024 10:00","1110 W Green St, Urbana","THEFT-LOST/MISLAID PROPERTY","Administratively Closed"
"2024-00007104","04/24/2024 14:44","04/24/2024 13:40","E Green St, Champaign","AGGRAVATED BATTERY-BASED ON LOCATION MINOR/NO INJURY","Cleared by Arrest"
"2024-00007104","04/24/2024 14:44","04/24/2024 13:40","E Green St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Cleared by Arrest"
"2024-00007104","04/24/2024 14:44","04/24/2024 13:40","E Green St, Champaign","HATE CRIME","Cleared by Arrest"
"2024-00007158","04/25/2024 02:34","04/24/2024 21:45","410 E John St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"2024-00007162","04/25/2024 09:11","04/24/2024 14:00","309 Chalmers St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00007168","04/25/2024 12:03","04/24/2024 12:13","54 E John St, Champaign","THEFT >$500","Administratively Closed"
"2024-00007170","04/25/2024 12:36","04/20/2024 20:00","603 S Wright St, Champaign","CREDIT/DEBIT CARD-POSSESSION OF TO DEFRAUD/SELL TO ANOTHER","Charged by SAO - No Arrest"
"2024-00007170","04/25/2024 12:36","04/20/2024 20:00","603 S Wright St, Champaign","THEFT-LOST/MISLAID PROPERTY","Charged by SAO - No Arrest"
"2024-00007170","04/25/2024 12:36","04/20/2024 20:00","603 S Wright St, Champaign","IDENTITY THEFT","Charged by SAO - No Arrest"
"2024-00007180","04/25/2024 15:49","04/25/2024 13:20","104 S Wright St, Urbana","THEFT >$500","Unfounded"
"2024-00007210","04/26/2024 02:57","04/26/2024 02:57","1401 W Green St, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Pending Investigation"
"2024-00007210","04/26/2024 02:57","04/26/2024 02:57","1401 W Green St, Urbana","MOB ACTION","Pending Investigation"
"2024-00007217","04/26/2024 08:17","04/25/2024 08:17","901 College Ct, Urbana","DECEPTIVE PRACTICES-BAD CHECKS","Administratively Closed"
"2024-00007217","04/26/2024 08:17","04/25/2024 08:17","901 College Ct, Urbana","THREATEN INJURY/DAMAGE-BY ELECTRONIC COMUNICATION","Administratively Closed"
"2024-00007217","04/26/2024 08:17","04/25/2024 08:17","901 College Ct, Urbana","FRAUD-WIRE","Administratively Closed"
"2024-00007222","04/26/2024 10:47","04/26/2024 00:00","1111 S First St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00007239","04/26/2024 15:11","04/26/2024 15:00","1401 W Green St, Urbana","AGGRAVATED BATTERY-POLICE/FIRST RESPONDER MINOR/NO INJURY","Cleared by Arrest"
"2024-00007239","04/26/2024 15:11","04/26/2024 15:00","1401 W Green St, Urbana","MOB ACTION","Cleared by Arrest"
"2024-00007239","04/26/2024 15:11","04/26/2024 15:00","1401 W Green St, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest"
"2024-00007250","04/27/2024 01:51","04/27/2024 01:51","1402 S First St, Champaign","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Administratively Closed"
"2024-00007253","04/27/2024 02:52","04/27/2024 02:30","307 E Daniel St, Champaign","AGGRAVATED BATTERY-BASED ON LOCATION MINOR/NO INJURY","Administratively Closed"
"2024-00007269","04/27/2024 11:49","04/27/2024 11:49","601 S FIRST ST, Champaign","CRIMINAL DAMAGE TO PROPERTY","Cleared by Arrest"
"2024-00007274","04/27/2024 12:46","04/25/2024 17:00","606 W Windsor Rd, Urbana","BURGLARY-BUILDING","Administratively Closed"
"2024-00007287","04/27/2024 19:35","04/27/2024 17:53","707 S Fourth St, Champaign","IDENTITY THEFT","Administratively Closed"
"2024-00007287","04/27/2024 19:35","04/27/2024 17:53","707 S Fourth St, Champaign","FRAUD-WIRE","Administratively Closed"
"2024-00007292","04/27/2024 19:53","04/27/2024 10:00","512 S Neil St, Champaign","THEFT >$500","Pending Investigation"
"2024-00007298","04/27/2024 22:29","04/27/2024 22:00","1301 Springfield Av, Urbana","CRIMINAL DAMAGE TO PROPERTY","Cleared by Arrest"
"2024-00007318","04/28/2024 02:40","04/28/2024 02:40","302 E Green St, Champaign","AGGRAVATED BATTERY-BASED ON LOCATION MINOR/NO INJURY","Cleared by Arrest"
"2024-00007336","04/28/2024 08:56","04/28/2024 01:00","202 E Green St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"2024-00007339","04/28/2024 09:41","04/28/2024 09:41","59 E Green St, Champaign","RETAIL THEFT","Cleared by Arrest"
"2024-00007347","04/28/2024 14:03","04/28/2024 14:00","805 S Fifth St, Champaign","TRESPASSING-LAND/REAL PROPERTY","Administratively Closed"
"2024-00007360","04/28/2024 19:15","04/28/2024 19:13","1401 W Green St, Urbana","BATTERY","Administratively Closed"
"2024-00007386","04/29/2024 03:22","04/26/2024 01:00","910 S Third St, Champaign","Criminal Sexual Assault - Force or Threat of Force","Pending Investigation"
"2024-00007397","04/29/2024 08:57","04/29/2024 08:57","411 W Green St, Urbana","TRESPASSING-LAND/REAL PROPERTY","Administratively Closed"
"2024-00007402","04/29/2024 10:31","04/24/2024 20:00","101 E Green St, Champaign","MOTOR VEHICLE THEFT","Administratively Closed"
"2024-00007402","04/29/2024 10:31","04/24/2024 20:00","101 E Green St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00007409","04/29/2024 13:00","04/27/2024 11:25","211 E Green St, Champaign","AGGRAVATED BATTERY-GREAT BODILY HARM","Administratively Closed"
"2024-00007413","04/29/2024 13:44","04/27/2024 13:05","720 S Neil St, Champaign","THEFT-<$500","Pending Investigation"
"2024-00007415","04/29/2024 14:48","04/16/2024 12:00","601 S Goodwin Av, Urbana","THEFT >$500","Administratively Closed"
"2024-00007415","04/29/2024 14:48","04/16/2024 12:00","601 S Goodwin Av, Urbana","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00007418","04/29/2024 15:20","04/29/2024 14:03","600 E Green St, Champaign","DISORDERLY CONDUCT-ALL OTHER","Pending Investigation"
"2024-00007418","04/29/2024 15:20","04/29/2024 14:03","600 E Green St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Pending Investigation"
"2024-00007422","04/29/2024 15:48","04/29/2024 15:48","29 E Green St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00007425","04/29/2024 17:03","04/25/2024 15:00","1001 College Ct, Urbana","THEFT >$500","Administratively Closed"
"2024-00007425","04/29/2024 17:03","04/25/2024 15:00","1001 College Ct, Urbana","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00007426","04/29/2024 17:03","04/29/2024 13:00","308 E Green St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"2024-00007452","04/30/2024 00:45","04/30/2024 00:45","211 E Green St, Champaign","AGGRAVATED BATTERY-BASED ON LOCATION MINOR/NO INJURY","Cleared by Arrest"
"2024-00007455","04/30/2024 01:29","04/30/2024 01:29","59 E Green St, Champaign","DISORDERLY CONDUCT-ALL OTHER","Cleared by Arrest"
"2024-00007458","04/30/2024 01:50","04/30/2024 01:45","54 E John St, Champaign","AGGRAVATED BATTERY-DOMESTIC","Cleared by Arrest"
"2024-00007468","04/30/2024 08:42","04/29/2024 20:53","1310 N Sixth St, Champaign","BOMB THREAT","Administratively Closed"
"2024-00007472","04/30/2024 10:05","04/29/2024 23:00","812 S Sixth St, Champaign","BURGLARY-RESIDENTIAL","Cleared by Arrest, Juvenile"
"2024-00007472","04/30/2024 10:05","04/29/2024 23:00","812 S Sixth St, Champaign","STOLEN PROPERTY-POSSESSION OF","Cleared by Arrest, Juvenile"
"2024-00007472","04/30/2024 10:05","04/29/2024 23:00","812 S Sixth St, Champaign","BURGLARY-BUILDING","Cleared by Arrest, Juvenile"
"2024-00007484","04/30/2024 12:59","04/25/2024 04:53","32 E Green St, Champaign","CREDIT/DEBIT CARD-USE OF CARD WITH INTENT TO DEFRAUD","Administratively Closed"
"2024-00007486","04/30/2024 13:08","04/29/2024 16:00","S Sixth St, Champaign","MOTOR VEHICLE THEFT","Administratively Closed"
"2024-00007502","04/30/2024 17:45","04/30/2024 16:45","201 Peabody Dr, Champaign","THEFT-<$500","Administratively Closed"
"2024-00007505","04/30/2024 19:58","04/30/2024 19:56","2103 Hazelwood Dr, Urbana","THEFT >$500","Administratively Closed"
"2024-00007519","04/30/2024 23:54","04/30/2024 23:50","501 S Sixth St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00007520","05/01/2024 00:06","05/01/2024 00:06","48 E John St, Champaign","WEAPON-AGGRAVATED UNLAWFUL USE OF","Cleared by Arrest, Juvenile"
"2024-00007549","05/01/2024 11:56","05/01/2024 11:20","106 E Green St, Champaign","BATTERY","Cleared by Arrest"
"2024-00007560","05/01/2024 15:18","04/30/2024 11:00","502 E Healey St, Champaign","THEFT-<$500","Pending Investigation"
"2024-00007563","05/01/2024 15:31","04/30/2024 20:00","201 Peabody Dr, Champaign","THEFT-<$500","Administratively Closed"
"2024-00007565","05/01/2024 16:27","04/30/2024 21:00","112 E Green St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00007565","05/01/2024 16:27","04/30/2024 21:00","112 E Green St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00007569","05/01/2024 17:22","05/01/2024 17:22","103 Chalmers St, Champaign","THEFT-<$500","Cleared by Arrest, Juvenile"
"2024-00007569","05/01/2024 17:22","05/01/2024 17:22","103 Chalmers St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Cleared by Arrest, Juvenile"
"2024-00007577","05/01/2024 20:14","05/01/2024 19:40","407 E Green St, Champaign","MOTOR VEHICLE THEFT","Cleared by Arrest"
"2024-00007597","05/02/2024 00:28","05/02/2024 00:10","1804 S Neil St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Pending Investigation"
"2024-00007597","05/02/2024 00:28","05/02/2024 00:10","1804 S Neil St, Champaign","BURGLARY-BUILDING","Pending Investigation"
"2024-00007609","05/02/2024 05:55","05/02/2024 05:55","1201 W University Av, Urbana","METH-POSSESSION","Cleared by Arrest"
"2024-00007609","05/02/2024 05:55","05/02/2024 05:55","1201 W University Av, Urbana","DRUG PARAPHERNALIA- POSSESSION OF -ORDINANCE","Cleared by Arrest"
"2024-00007615","05/02/2024 09:16","05/02/2024 09:14","201 N Goodwin Av, Urbana","DISORDERLY CONDUCT-ALL OTHER","Administratively Closed"
"2024-00007748","05/03/2024 22:18","05/03/2024 22:15","211 E Green St, Champaign","RECKLESS CONDUCT-BODILY HARM","Cleared by Arrest"
"2024-00007773","05/04/2024 02:48","05/04/2024 02:15","202 E Green St, Champaign","AGGRAVATED BATTERY-BASED ON LOCATION MINOR/NO INJURY","Cleared by Arrest"
"2024-00007773","05/04/2024 02:48","05/04/2024 02:15","202 E Green St, Champaign","MOB ACTION","Cleared by Arrest"
"2024-00007786","05/04/2024 10:47","05/03/2024 17:00","812 S Sixth St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00007847","05/05/2024 00:06","05/05/2024 00:05","211 E Green St, Champaign","AGGRAVATED BATTERY-GREAT BODILY HARM","Cleared by Arrest"
"2024-00007862","05/05/2024 04:37","04/30/2022 00:00","58 E Daniel St, Champaign","AGGRAVATED BATTERY-DOMESTIC","Cleared by Arrest"
"2024-00007871","05/05/2024 09:21","05/04/2024 17:00","1012 S First St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Pending Investigation"
"2024-00007871","05/05/2024 09:21","05/04/2024 17:00","1012 S First St, Champaign","MOTOR VEHICLE THEFT","Pending Investigation"
"2024-00007876","05/05/2024 12:01","05/03/2024 11:30","107 E Springfield Av, Champaign","THEFT-<$500","Administratively Closed"
"2024-00007877","05/05/2024 12:27","05/05/2024 12:25","812 S Fifth St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00007877","05/05/2024 12:27","05/05/2024 12:25","812 S Fifth St, Champaign","AGGRAVATED BATTERY-BASED ON LOCATION MINOR/NO INJURY","Administratively Closed"
"2024-00007880","05/05/2024 13:10","05/05/2024 13:10","75 E Armory Av, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00007886","05/05/2024 16:52","04/26/2024 17:30","1107 S Third St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00007890","05/05/2024 17:41","04/29/2024 12:00","614 E Daniel St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00007896","05/05/2024 18:07","05/05/2024 18:07","59 E Green St, Champaign","TRESPASSING-LAND/REAL PROPERTY","Cleared by Arrest"
"2024-00007899","05/05/2024 18:45","05/05/2024 18:45","S Fifth St, Champaign","ASSAULT","Cleared by Arrest"
"2024-00007899","05/05/2024 18:45","05/05/2024 18:45","S Fifth St, Champaign","DISORDERLY CONDUCT-ALL OTHER","Cleared by Arrest"
"2024-00007905","05/05/2024 20:47","05/04/2024 15:00","1107 S Second St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00007905","05/05/2024 20:47","05/04/2024 15:00","1107 S Second St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00007939","05/06/2024 09:28","05/04/2024 18:00","603 E Clark St, Champaign","THEFT-LOST/MISLAID PROPERTY","Pending Investigation"
"2024-00007939","05/06/2024 09:28","05/04/2024 18:00","603 E Clark St, Champaign","CREDIT/DEBIT CARD-POSSESSION OF TO DEFRAUD/SELL TO ANOTHER","Pending Investigation"
"2024-00007954","05/06/2024 13:28","04/24/2024 16:00","302 E John St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00007959","05/06/2024 16:06","05/04/2024 18:30","E John St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00007962","05/06/2024 17:36","05/04/2024 21:45","706 S Fifth St, Champaign","CREDIT/DEBIT CARD-POSSESSION MISLAID CARD WITH CRIMINAL INTENT","Cleared by Arrest"
"2024-00007962","05/06/2024 17:36","05/04/2024 21:45","706 S Fifth St, Champaign","IDENTITY THEFT","Cleared by Arrest"
"2024-00007962","05/06/2024 17:36","05/04/2024 21:45","706 S Fifth St, Champaign","CREDIT/DEBIT CARD-POSSESSION OF TO DEFRAUD/SELL TO ANOTHER","Cleared by Arrest"
"2024-00007965","05/06/2024 18:13","05/06/2024 13:30","1408 Gregory Dr, Urbana","THEFT-<$500","Administratively Closed"
"2024-00008022","05/07/2024 11:18","05/07/2024 03:00","311 E Armory Av, Champaign","TRESPASSING-LAND/REAL PROPERTY","Administratively Closed"
"2024-00008033","05/07/2024 13:40","05/04/2024 02:25","S Second St, Champaign","AGGRAVATED BATTERY-BASED ON LOCATION MINOR/NO INJURY","Administratively Closed"
"2024-00008033","05/07/2024 13:40","05/04/2024 02:25","S Second St, Champaign","MOB ACTION","Administratively Closed"
"2024-00008038","05/07/2024 15:30","05/06/2024 22:30","1402 S First St, Champaign","DISORDERLY CONDUCT-ALL OTHER","Administratively Closed"
"2024-00008075","05/08/2024 03:33","05/08/2024 02:00","911 S Oak St, Champaign","TRESPASSING-RESIDENCE","Administratively Closed"
"2024-00008078","05/08/2024 06:13","05/08/2024 02:00","1107 Euclid St, Champaign","THEFT >$500","Pending Investigation"
"2024-00008079","05/08/2024 07:04","05/07/2024 15:00","1409 W Green St, Urbana","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Inactive"
"2024-00008081","05/08/2024 08:14","05/08/2024 00:18","1400 Gregory Dr, Urbana","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Administratively Closed"
"2024-00008098","05/08/2024 14:33","05/06/2024 10:50","1114 W Nevada St, Urbana","BATTERY","Pending Investigation"
"2024-00008115","05/08/2024 19:08","05/08/2024 16:24","107 E Daniel St, Champaign","THEFT >$500","Administratively Closed"
"2024-00008134","05/09/2024 00:54","05/09/2024 00:53","1804 S Neil St, Champaign","BURGLARY-BUILDING","Cleared by Arrest, Juvenile"
"2024-00008140","05/09/2024 02:54","05/09/2024 02:45","312 E Armory Av, Champaign","BATTERY","Administratively Closed"
"2024-00008148","05/09/2024 09:17","05/08/2024 16:00","601 S Lincoln Av, Urbana","VANDALISM-INSTITUTIONAL","Administratively Closed"
"2024-00008168","05/09/2024 15:45","05/09/2024 15:45","505 S Mathews Av, Urbana","CRIMINAL DEFACEMENT OF PROPERTY","Administratively Closed"
"2024-00008167","05/09/2024 15:46","05/01/2024 12:00","812 S Sixth St, Champaign","THEFT >$500","Administratively Closed"
"2024-00008169","05/09/2024 15:50","05/08/2024 16:40","902 S Lincoln Av, Urbana","THEFT-<$500","Administratively Closed"
"2024-00008173","05/09/2024 16:02","05/09/2024 09:30","810 S Wright St, Urbana","THEFT >$500","Unfounded"
"2024-00008180","05/09/2024 17:38","05/05/2024 15:52","302 E John St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00008213","05/10/2024 00:29","04/10/2024 12:00","509 E Green St, Champaign","FRAUD-WIRE","Administratively Closed"
"2024-00008226","05/10/2024 03:34","05/10/2024 03:00","400 E Green St, Champaign","AGGRAVATED CRIMINAL SEXUAL ABUSE-WHILE COMMITTING FELONY","Pending Investigation"
"2024-00008226","05/10/2024 03:34","05/10/2024 03:00","400 E Green St, Champaign","AGGRAVATED UNLAWFUL RESTRAINT","Pending Investigation"
"2024-00008228","05/10/2024 04:34","05/10/2024 04:34","S First St, Champaign","DUI-ALCOHOL","Cleared by Arrest"
"2024-00008230","05/10/2024 05:10","05/10/2024 05:10","810 S Wright St, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest"
"2024-00008234","05/10/2024 07:30","05/09/2024 06:00","1301 Springfield Av, Urbana","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Administratively Closed"
"2024-00008237","05/10/2024 08:39","05/09/2024 16:00","500 S Goodwin Av, Urbana","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Administratively Closed"
"2024-00008240","05/10/2024 09:32","05/10/2024 04:59","1405 Springfield Av, Urbana","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Administratively Closed"
"2024-00008245","05/10/2024 10:27","05/09/2024 20:41","800 S FIRST ST, Champaign","MOTOR VEHICLE THEFT","Administratively Closed"
"2024-00008270","05/10/2024 17:48","05/10/2024 00:00","407 S Goodwin Av, Urbana","CRIMINAL DEFACEMENT OF PROPERTY","Administratively Closed"
"2024-00008282","05/10/2024 20:16","05/10/2024 13:50","708 S Sixth St, Champaign","THEFT-LOST/MISLAID PROPERTY","Unfounded"
"2024-00008334","05/11/2024 08:07","05/06/2024 17:00","S Fifth St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00008334","05/11/2024 08:07","05/06/2024 17:00","S Fifth St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00008344","05/11/2024 10:34","04/10/2024 15:00","1005 Gregory Dr, Urbana","THEFT-<$500","Administratively Closed"
"2024-00008375","05/11/2024 16:47","05/11/2024 16:45","705 Locust St, Champaign","AGGRAVATED BATTERY-BASED ON LOCATION MINOR/NO INJURY","Cleared by Arrest"
"2024-00008375","05/11/2024 16:47","05/11/2024 16:45","705 Locust St, Champaign","MOB ACTION","Cleared by Arrest"
"2024-00008380","05/11/2024 17:11","05/11/2024 12:40","500 S Goodwin Av, Urbana","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00008390","05/11/2024 20:17","05/11/2024 20:17","1900 S First St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"2024-00008390","05/11/2024 20:17","05/11/2024 20:17","1900 S First St, Champaign","MOTOR VEHICLE THEFT","Pending Investigation"
"2024-00008390","05/11/2024 20:17","05/11/2024 20:17","1900 S First St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Pending Investigation"
"2024-00008403","05/11/2024 23:24","05/11/2024 23:15","102 E Green St, Champaign","AGGRAVATED BATTERY-BASED ON LOCATION MINOR/NO INJURY","Cleared by Arrest"
"2024-00008421","05/12/2024 02:27","05/12/2024 02:25","408 E Green St, Champaign","AGGRAVATED BATTERY-BASED ON LOCATION MINOR/NO INJURY","Pending Investigation"
"2024-00008421","05/12/2024 02:27","05/12/2024 02:25","408 E Green St, Champaign","MOB ACTION","Pending Investigation"
"2024-00008429","05/12/2024 09:11","05/12/2024 09:05","59 E Green St, Champaign","RETAIL THEFT","Cleared by Arrest"
"2024-00008481","05/13/2024 07:19","05/13/2024 04:20","512 S Third St, Champaign","BURGLARY-RESIDENTIAL","Cleared by Arrest, Juvenile"
"2024-00008485","05/13/2024 08:38","05/12/2024 23:30","202 E Green St, Champaign","BURGLARY-RESIDENTIAL","Cleared by Arrest, Juvenile"
"2024-00008496","05/13/2024 13:37","05/12/2024 22:00","308 E Armory Av, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00008501","05/13/2024 14:44","05/12/2024 21:00","601 S Fourth St, Champaign","MOTOR VEHICLE THEFT","Administratively Closed"
"2024-00008508","05/13/2024 17:00","05/13/2024 01:00","35 E Green St, Champaign","BATTERY","Administratively Closed"
"2024-00008525","05/14/2024 03:20","05/14/2024 03:20","1201 W University Av, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest"
"2024-00008541","05/14/2024 13:14","05/13/2024 19:00","301 Chalmers St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00008546","05/14/2024 14:36","05/14/2024 06:00","23 Stadium Dr, Champaign","ASSAULT","Administratively Closed"
"2024-00008546","05/14/2024 14:36","05/14/2024 06:00","23 Stadium Dr, Champaign","DISORDERLY CONDUCT-ALL OTHER","Administratively Closed"
"2024-00008568","05/14/2024 18:30","05/12/2024 17:30","112 E Green St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00008569","05/14/2024 18:32","05/14/2024 09:30","405 N Mathews Av, Urbana","THEFT-<$500","Pending Investigation"
"2024-00008569","05/14/2024 18:32","05/14/2024 09:30","405 N Mathews Av, Urbana","CREDIT/DEBIT CARD-USE OF CARD WITH INTENT TO DEFRAUD","Pending Investigation"
"2024-00008584","05/15/2024 01:44","05/15/2024 01:40","906 S Goodwin Av, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest"
"2024-00008589","05/15/2024 04:36","05/15/2024 04:36","32 E Daniel St, Champaign","DISORDERLY CONDUCT-ALL OTHER","Cleared by Arrest"
"2024-00008641","05/16/2024 01:06","05/16/2024 01:06","S Chestnut St, Champaign","AGGRAVATED BATTERY-DEADLY WEAPON NOT FIREARM","Cleared by Arrest"
"2024-00008641","05/16/2024 01:06","05/16/2024 01:06","S Chestnut St, Champaign","ROBBERY-ARMED","Cleared by Arrest"
"2024-00008649","05/16/2024 08:17","05/15/2024 23:45","512 S Third St, Champaign","TRESPASSING-VEHICLE","Administratively Closed"
