"Number","Reported Date/Time","Occurred From Date/Time","Location","Description","Disposition"
"2024-00008649","05/16/2024 08:17","05/15/2024 23:45","512 S Third St, Champaign","MOTOR VEHICLE THEFT","Administratively Closed"
"2024-00008651","05/16/2024 08:55","05/16/2024 08:00","Stadium Dr, Champaign","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Administratively Closed"
"2024-00008664","05/16/2024 13:28","05/14/2024 03:00","55 E Green St, Champaign","THEFT-<$500","Cleared by Arrest"
"2024-00008682","05/16/2024 22:32","05/16/2024 22:25","707 S Fourth St, Champaign","TRESPASSING-LAND/REAL PROPERTY","Cleared by Arrest"
"2024-00008697","05/17/2024 10:28","05/14/2024 19:00","103 E Healey St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00008697","05/17/2024 10:28","05/14/2024 19:00","103 E Healey St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00008738","05/18/2024 11:25","05/18/2024 11:00","1107 Euclid St, Champaign","BATTERY-DOMESTIC","Administratively Closed"
"2024-00008738","05/18/2024 11:25","05/18/2024 11:00","1107 Euclid St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00008744","05/18/2024 14:24","05/17/2024 17:00","48 E John St, Champaign","THEFT >$500","Administratively Closed"
"2024-00008780","05/19/2024 09:55","05/18/2024 17:30","103 E Healey St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00008780","05/19/2024 09:55","05/18/2024 17:30","103 E Healey St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00008788","05/19/2024 16:18","05/19/2024 12:00","1010 W GREEN ST, URBANA","MOTOR VEHICLE THEFT","Cleared by Arrest, Juvenile"
"2024-00008788","05/19/2024 16:18","05/19/2024 12:00","1010 W GREEN ST, URBANA","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest, Juvenile"
"2024-00008813","05/20/2024 09:22","05/14/2024 08:00","32 E Green St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00008815","05/20/2024 10:48","05/20/2024 10:48","S Sixth St, Champaign","THEFT-<$500","Cleared by Arrest"
"2024-00008868","05/21/2024 08:31","05/20/2024 18:30","205 E Green St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00008867","05/21/2024 08:36","05/12/2024 15:33","500 S Goodwin Av, Urbana","CYBERSTALKING","Administratively Closed"
"2024-00008871","05/21/2024 09:48","05/20/2024 15:15","2030 S Neil St, Champaign","DISORDERLY CONDUCT-ALL OTHER","Administratively Closed"
"2024-00008871","05/21/2024 09:48","05/20/2024 15:15","2030 S Neil St, Champaign","HARASSMENT-BY ELECTRONIC COMMUNICATIONS","Administratively Closed"
"2024-00008874","05/21/2024 11:36","05/21/2024 11:36","1013 Springfield Av, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest"
"2024-00008923","05/22/2024 18:15","05/20/2024 20:00","1304 W Pennsylvania Av, Urbana","THEFT-<$500","Administratively Closed"
"2024-00008924","05/22/2024 18:17","05/18/2024 10:31","309 E Springfield Av, Champaign","THEFT-<$500","Administratively Closed"
"2024-00008958","05/23/2024 13:46","05/21/2024 17:15","407 E Green St, Champaign","IDENTITY THEFT- IMPLEMENTS TO PRODUCE FALSE DOCUMENTS TO COMMIT FELONY","Pending Investigation"
"2024-00008962","05/23/2024 14:39","05/22/2024 22:00","507 S Second St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00008970","05/23/2024 18:24","05/21/2024 18:48","43 E Green St, Champaign","FRAUD","Administratively Closed"
"2024-00008986","05/24/2024 05:53","05/24/2024 05:53","S Second St, Champaign","ASSAULT","Cleared by Arrest"
"2024-00008987","05/24/2024 06:59","05/22/2024 05:00","805 W Pennsylvania Av, Urbana","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Administratively Closed"
"2024-00008999","05/24/2024 14:15","05/22/2024 12:00","1206 Gregory Dr, Urbana","THEFT >$500","Administratively Closed"
"2024-00009024","05/25/2024 10:46","05/24/2024 18:00","602 S Neil St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00009076","05/26/2024 06:35","05/26/2024 06:26","600 E Green St, Champaign","MOB ACTION","Pending Investigation"
"2024-00009076","05/26/2024 06:35","05/26/2024 06:26","600 E Green St, Champaign","AGGRAVATED BATTERY-GREAT BODILY HARM","Pending Investigation"
"2024-00009111","05/27/2024 01:25","05/27/2024 01:15","48 E John St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00009149","05/28/2024 08:51","05/28/2024 07:15","1503 Maryland Dr, Urbana","DISORDERLY CONDUCT-ALL OTHER","Administratively Closed"
"2024-00009176","05/28/2024 17:27","05/27/2024 18:00","507 S Second St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"2024-00009176","05/28/2024 17:27","05/27/2024 18:00","507 S Second St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Pending Investigation"
"2024-00009199","05/29/2024 05:53","05/28/2024 16:00","1103 W University Av, Urbana","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"2024-00009199","05/29/2024 05:53","05/28/2024 16:00","1103 W University Av, Urbana","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Pending Investigation"
"2024-00009201","05/29/2024 07:26","05/28/2024 15:46","1103 W University Av, Urbana","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Administratively Closed"
"2024-00009201","05/29/2024 07:26","05/28/2024 15:46","1103 W University Av, Urbana","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00009214","05/29/2024 13:39","05/27/2024 12:00","707 S Mathews Av, Urbana","BURGLARY-BUILDING","Administratively Closed"
"2024-00009214","05/29/2024 13:39","05/27/2024 12:00","707 S Mathews Av, Urbana","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00009215","05/29/2024 14:34","04/28/2023 10:00","1402 Gregory Dr, Urbana","CRIMINAL DEFACEMENT OF PROPERTY","Administratively Closed"
"2024-00009217","05/29/2024 15:43","05/29/2024 14:50","1205 Clark St, Urbana","MOTOR VEHICLE THEFT","Cleared by Arrest"
"2024-00009217","05/29/2024 15:43","05/29/2024 14:50","1205 Clark St, Urbana","THEFT >$500","Cleared by Arrest"
"2024-00009217","05/29/2024 15:43","05/29/2024 14:50","1205 Clark St, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest"
"2024-00009254","05/30/2024 12:40","05/27/2024 13:43","107 E Springfield Av, Champaign","FRAUD","Pending Investigation"
"2024-00009280","05/30/2024 19:48","05/30/2024 15:13","407 E Green St, Champaign","BURGLARY-BUILDING","Pending Investigation"
"2024-00009280","05/30/2024 19:48","05/30/2024 15:13","407 E Green St, Champaign","THEFT >$500","Pending Investigation"
"2024-00009282","05/30/2024 20:14","05/30/2024 20:10","309 E John St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00009289","05/30/2024 22:37","05/30/2024 22:25","202 E John St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"2024-00009350","06/01/2024 10:37","03/10/2024 00:01","1005 Gregory Dr, Urbana","THEFT-<$500","Administratively Closed"
"2024-00009352","06/01/2024 13:04","05/28/2024 11:31","309 E Springfield Av, Champaign","DECEPTIVE PRACTICES-BAD CHECKS","Pending Investigation"
"2024-00009359","06/01/2024 15:58","05/31/2024 22:00","51 E Green St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00009358","06/01/2024 15:59","05/12/2024 19:00","1012 W Illinois St, Urbana","BURGLARY-BUILDING","Administratively Closed"
"2024-00009386","06/02/2024 10:18","06/02/2024 10:00","309 E Green St, Champaign","BATTERY-DOMESTIC","Cleared by Arrest"
"2024-00009386","06/02/2024 10:18","06/02/2024 10:00","309 E Green St, Champaign","BATTERY-DOMESTIC","Cleared by Arrest"
"2024-00009402","06/02/2024 18:55","06/02/2024 03:00","25 E John St, Champaign","THEFT-LOST/MISLAID PROPERTY","Administratively Closed"
"2024-00009411","06/02/2024 23:06","06/02/2024 23:05","E Windsor Rd, Champaign","DUI-ALCOHOL","Cleared by Arrest"
"2024-00009418","06/03/2024 01:34","06/03/2024 01:30","712 S Sixth St, Champaign","BURGLARY-BUILDING","Pending Investigation"
"2024-00009418","06/03/2024 01:34","06/03/2024 01:30","712 S Sixth St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Pending Investigation"
"2024-00009420","06/03/2024 05:44","06/03/2024 05:44","406 E Green St, Champaign","CONTROLLED SUBSTANCE-POSSESSION OF","Cleared by Arrest"
"2024-00009420","06/03/2024 05:44","06/03/2024 05:44","406 E Green St, Champaign","METH-POSSESSION","Cleared by Arrest"
"2024-00009429","06/03/2024 10:30","03/01/2024 12:00","614 E Daniel St, Champaign","THEFT >$500","Administratively Closed"
"2024-00009432","06/03/2024 11:26","05/31/2024 17:00","502 E Healey St, Champaign","MOTOR VEHICLE THEFT","Administratively Closed"
"2024-00009475","06/04/2024 10:00","06/04/2024 00:06","302 E John St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Pending Investigation"
"2024-00009479","06/04/2024 13:54","06/04/2024 13:54","12 E Green St, Champaign","DISORDERLY CONDUCT-ALL OTHER","Pending Investigation"
"2024-00009480","06/04/2024 14:00","05/30/2024 16:00","302 E John St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00009507","06/05/2024 01:42","06/05/2024 01:38","1704 S Neil St, Champaign","BURGLARY-BUILDING","Cleared by Arrest, Juvenile"
"2024-00009507","06/05/2024 01:42","06/05/2024 01:38","1704 S Neil St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Cleared by Arrest, Juvenile"
"2024-00009508","06/05/2024 01:46","06/05/2024 01:45","1804 S Neil St, Champaign","BURGLARY-BUILDING","Cleared by Arrest, Juvenile"
"2024-00009508","06/05/2024 01:46","06/05/2024 01:45","1804 S Neil St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Cleared by Arrest, Juvenile"
"2024-00009526","06/05/2024 14:24","06/05/2024 14:20","1609 S Oak St, Champaign","DISORDERLY CONDUCT-ALL OTHER","Administratively Closed"
"2024-00009555","06/06/2024 06:49","06/06/2024 06:49","616 E Green St, Champaign","TRESPASSING-LAND/REAL PROPERTY","Cleared by Arrest"
"2024-00009555","06/06/2024 06:49","06/06/2024 06:49","616 E Green St, Champaign","DRUG EQUIPMENT-POSSESSION OF","Cleared by Arrest"
"2024-00009573","06/06/2024 16:08","06/06/2024 16:00","1206 W Green St, Urbana","CRIMINAL DEFACEMENT OF PROPERTY","Cleared by Arrest"
"2024-00009575","06/06/2024 16:34","06/06/2024 08:30","1010 S First St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00009582","06/06/2024 19:23","06/06/2024 19:21","408 S Neil St, Champaign","MOTOR VEHICLE THEFT","Cleared by Arrest"
"2024-00009582","06/06/2024 19:23","06/06/2024 19:21","408 S Neil St, Champaign","THEFT-FROM MOTOR VEHICLE","Cleared by Arrest"
"2024-00009598","06/07/2024 04:28","06/07/2024 04:28","1510 S Neil St, Champaign","AGGRAVATED BATTERY-BASED ON LOCATION MINOR/NO INJURY","Pending Investigation"
"2024-00009614","06/07/2024 15:35","02/14/2024 12:00","1103 Euclid St, Champaign","FRAUD","Administratively Closed"
"2024-00009615","06/07/2024 16:01","06/07/2024 15:55","303 Chalmers St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"2024-00009632","06/07/2024 19:02","06/05/2024 17:25","507 S Second St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00009650","06/08/2024 01:02","06/08/2024 01:02","E Kirby Av, Urbana","DUI-ALCOHOL","Pending Investigation"
"2024-00009653","06/08/2024 08:08","06/08/2024 08:00","402 S Neil St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Pending Investigation"
"2024-00009653","06/08/2024 08:08","06/08/2024 08:00","402 S Neil St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"2024-00009695","06/09/2024 10:26","06/08/2024 17:30","1214 S First St, Champaign","MOTOR VEHICLE THEFT","Administratively Closed"
"2024-00009695","06/09/2024 10:26","06/08/2024 17:30","1214 S First St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00009696","06/09/2024 10:58","06/08/2024 20:20","102 E Green St, Champaign","MOTOR VEHICLE THEFT","Administratively Closed"
"2024-00009727","06/10/2024 10:23","06/09/2024 23:00","28 E Green St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Cleared by Arrest"
"2024-00009727","06/10/2024 10:23","06/09/2024 23:00","28 E Green St, Champaign","THEFT-LOST/MISLAID PROPERTY","Cleared by Arrest"
"2024-00009728","06/10/2024 10:32","06/07/2024 12:00","1408 Gregory Dr, Urbana","THEFT-LOST/MISLAID PROPERTY","Pending Investigation"
"2024-00009734","06/10/2024 13:09","06/10/2024 12:15","2125 S First St, Champaign","AGGRAVATED ASSAULT-LOCATION BASED PUBLIC","Pending Investigation"
"2024-00009738","06/10/2024 15:44","06/04/2024 21:00","58 E John St, Champaign","THEFT-<$500","Pending Investigation"
"2024-00009741","06/10/2024 17:14","06/10/2024 17:14","21 Chalmers St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00009741","06/10/2024 17:14","06/10/2024 17:14","21 Chalmers St, Champaign","BURGLARY-BUILDING","Administratively Closed"
"2024-00009769","06/11/2024 06:12","06/11/2024 06:10","707 S Mathews Av, Urbana","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Pending Investigation"
"2024-00009791","06/11/2024 14:32","04/14/2024 08:00","11 Airport Rd, Savoy","RETAIL THEFT-FAIL RETURN LEASED PROPERTY","Pending Investigation"
"2024-00009798","06/11/2024 17:50","06/11/2024 16:32","407 E Green St, Champaign","THEFT-<$500","Cleared by Arrest"
"2024-00009807","06/11/2024 22:25","06/10/2024 17:46","28 E Green St, Champaign","MOTOR VEHICLE THEFT","Pending Investigation"
"2024-00009822","06/12/2024 04:05","06/12/2024 04:05","912 S Fifth St, Champaign","METH-POSSESSION","Pending Investigation"
"2024-00009822","06/12/2024 04:05","06/12/2024 04:05","912 S Fifth St, Champaign","DRUG EQUIPMENT-POSSESSION OF","Pending Investigation"
"2024-00009831","06/12/2024 09:42","06/11/2024 22:29","11 Airport Rd, Savoy","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Administratively Closed"
"2024-00009830","06/12/2024 09:44","06/10/2024 13:00","501 E Green St, Champaign","THEFT-LOST/MISLAID PROPERTY","Administratively Closed"
"2024-00009871","06/13/2024 13:18","06/12/2024 08:00","508 S First St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00009871","06/13/2024 13:18","06/12/2024 08:00","508 S First St, Champaign","THEFT >$500","Administratively Closed"
"2024-00009899","06/14/2024 02:32","06/14/2024 02:32","1001 Dorner Dr, Urbana","CURFEW MINORS","Administratively Closed"
"2024-00009902","06/14/2024 06:07","06/14/2024 01:14","1501 S Oak St, Champaign","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Pending Investigation"
"2024-00009902","06/14/2024 06:07","06/14/2024 01:14","1501 S Oak St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"2024-00009902","06/14/2024 06:07","06/14/2024 01:14","1501 S Oak St, Champaign","TRESPASSING-VEHICLE","Pending Investigation"
"2024-00009906","06/14/2024 10:47","06/13/2024 18:30","201 E Armory Av, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00009910","06/14/2024 12:05","06/13/2024 17:00","205 E Green St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00009916","06/14/2024 15:57","06/14/2024 14:30","W Green St, Urbana","THEFT >$500","Administratively Closed"
"2024-00009952","06/15/2024 15:06","06/15/2024 15:06","407 E Green St, Champaign","RETAIL THEFT","Cleared by Arrest"
"2024-00009985","06/16/2024 12:02","06/14/2024 15:00","107 E Springfield Av, Champaign","MOTOR VEHICLE THEFT","Administratively Closed"
"2024-00010005","06/17/2024 01:56","06/17/2024 01:53","303 S Dunlap Av, Savoy","DUI-ALCOHOL","Cleared by Arrest"
"2024-00010005","06/17/2024 01:56","06/17/2024 01:53","303 S Dunlap Av, Savoy","DUI - ALCOHOL - BREATH OR BLOOD CONCENTRATION .08 OR MORE","Cleared by Arrest"
"2024-00010011","06/17/2024 10:57","06/17/2024 10:57","104 S Wright St, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest"
"2024-00010019","06/17/2024 15:22","06/17/2024 15:10","2201 S First St, Champaign","DISORDERLY CONDUCT-ALL OTHER","Administratively Closed"
"2024-00010022","06/17/2024 17:08","05/17/2024 12:00","505 E Healey St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00010048","06/18/2024 14:17","06/17/2024 16:00","1107 S Fourth St, Champaign","THEFT-<$500","Pending Investigation"
"2024-00010048","06/18/2024 14:17","06/17/2024 16:00","1107 S Fourth St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Pending Investigation"
"2024-00010053","06/18/2024 17:06","06/17/2024 23:25","1008 S Fourth St, Champaign","IDENTITY THEFT","Pending Investigation"
"2024-00010053","06/18/2024 17:06","06/17/2024 23:25","1008 S Fourth St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"2024-00010098","06/19/2024 23:59","06/19/2024 23:59","S First St, Champaign","DUI-ALCOHOL","Pending Investigation"
"2024-00010107","06/20/2024 10:34","06/18/2024 21:00","701 S Gregory St, Urbana","THEFT-<$500","Pending Investigation"
"2024-00010107","06/20/2024 10:34","06/18/2024 21:00","701 S Gregory St, Urbana","CRIMINAL DAMAGE TO PROPERTY","Pending Investigation"
"2024-00010130","06/20/2024 21:14","06/20/2024 21:14","1401 W Green St, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Pending Investigation"
"CSA24-060","4/22/24 10:34","9/8/2023 2:30","ON CAMPUS RES HALL","RAPE","ADMIN CLOSED"
"CSA24-061","4/22/24 18:00","SEPTEMBER OF 2023","ON CAMPUS RES HALL","RAPE/AGGRAVATED ASSAULT","ADMIN CLOSED"
"CSA24-059","4/22/24 9:33","UNKNOWN","NON CAMPUS PROPERTY","SIMPLE ASSAULT","ADMIN CLOSED"
"CSA24-062","4/23/24 10:33","Feb-24","UNKNOWN LOCATION","STALKING","ADMIN CLOSED"
"01482-2024","4/23/24 12:49","4/20/24 16:15","SHERMAN RESIDENCE HALL","CRIMINAL DAMAGE","ADMIN CLOSED"
"01485-2024","4/23/24 13:06","4/21/24 2:10","BUSEY EVANS RESIDENCE HALL","LIQUOR-UNDERAGE","STUDENT DISC REFERRAL"
"01493-2024","4/23/24 13:15","4/23/24 1:50","TRELEASE RESIDENCE HALL","LIQUOR-UNDERAGE","STUDENT DISC REFERRAL"
"LT23-002","4/25/2024 10:42","09/12/2023 UNKNOWN","210 S DUBUQUE ST, IOWA CITY, IA","DRUG LAW VIOLATION","ADMIN CLOSED"
"CSA24-063","4/25/24 10:02","4/24/2024 8:32","ON CAMPUS","CRIMINAL DAMAGE","UNFOUNDED"
"CSA24-065","4/25/24 16:41","3/28/2024 UNKNOWN","ON CAMPUS","STALKING","ADMIN CLOSED"
"CSA24-066","4/26/24 11:26","FEBRUARY 2024-APRIL 2024","ON CAMPUS","STALKING","ADMIN CLOSED"
"FI24002511","4/26/24 12:38","4/26/24 12:38","512 S THIRD ST, CHAMPAIGN","CRIMINAL DAMAGE","ADMIN CLOSED"
"FI24002512","4/26/24 14:51","4/26/24 14:51","33 E GREEN ST, CHAMPAIGN","SIMPLE ASSAULT","ADMIN CLOSED"
"FI24002514","4/27/24 2:32","4/27/24 2:32","404 E GREEN ST, CHAMPAIGN","LIQUOR-UNDERAGE","ADMIN CLOSED"
"FI24002523","4/28/24 5:29","4/28/24 5:59","IKENBERRY DINING","LIQUOR-UNDERAGE","ADMIN CLOSED"
"CSA24-067","4/30/24 23:54","APRIL 2023-APRIL 2024","UNKNOWN LOCATION","RAPE","ADMIN CLOSED"
"LT23-003","5/1/2024 13:36","3/5/2023 5:43","1300 Nicollet Mall, Minneapolis, MN","AGGRAVATED ASSAULT","ADMIN CLOSED"
"CSA24-074","5/10/24 10:09","Apr-24","ON CAMPUS","STALKING","ADMIN CLOSED"
"CSA24-075","5/10/24 10:31","10/28/23 - 01/10/24","NON CAMPUS PROPERTY","DOMESTIC","ADMIN CLOSED"
"CSA24-076","5/10/24 10:42","4/9/24 UNKNOWN","ON CAMPUS","STALKING/DOMESTIC","ADMIN CLOSED"
"CSA24-077","5/10/24 10:43","4/30/2024 23:56","ON CAMPUS","DOMESTIC","ADMIN CLOSED"
"CSA24-078","5/10/24 10:44","9/7/2023 UNKNOWN","ON CAMPUS RES HALL","FONDLING/STALKING","ADMIN CLOSED"
"01655-2024","5/10/24 11:47","5/10/24 11:47","TOWNSEND RESIDENCE HALL","THEFT","ADMIN CLOSED"
"01723-2024","5/10/24 12:51","5/10/24 12:51","SNYDER RESIDENCE HALL","CRIMINAL DAMAGE","ADMIN CLOSED"
"FI24002612","5/10/24 2:53","5/10/24 2:53","CHALMERS ST/S FIFTH ST, CHAMPAIGN","LIQUOR-UNDERAGE","ADMIN CLOSED"
"FI24002622","5/10/24 4:51","5/10/24 4:51","309 E GREEN ST, CHAMPAIGN","LIQUOR-UNDERAGE","ADMIN CLOSED"
"FI24002636","5/12/24 12:19","5/12/24 12:19","308 E GREEN ST, CHAMPAIGN","DRUG LAW VIOLATION","ADMIN CLOSED"
"FI24002653","5/14/24 15:13","5/14/24 15:13","1304 SPRINGFIELD AV, URBANA","THEFT","ADMIN CLOSED"
"CSA24-079","5/14/24 16:40","SPRING OF 2024","ON CAMPUS","STALKING","ADMIN CLOSED"
"CSA24-080","5/16/24 13:58","5/13/24 UNKNOWN","UNKNOWN LOCATION","STALKING","ADMIN CLOSED"
"I23-16212","5/17/24 14:20","SPRING 2024 UNKNOWN","ON CAMPUS (ELECTRONIC)","STALKING","ADMIN CLOSED"
"CSA24-081","5/17/24 9:43","5/13/24 UNKNOWN","ON CAMPUS","STALKING","ADMIN CLOSED"
"CSA24-069","5/2/24 13:06","3/21/24-4/26/24","ON CAMPUS","STALKING","ADMIN CLOSED"
"01555-2024","5/2/24 13:33","5/2/24 13:33","SCOTT RESIDENCE HALL","LIQUOR-UNDERAGE","STUDENT DISC REFERRAL"
"CSA24-083","5/20/24 16:45","UNKNOWN 2017","OFF CAMPUS","FONDLING","ADMIN CLOSED"
"LT23-004","5/21/2024 14:59","7/10/2023-7/13/2023","1998 N ROSELLE RD, SCHAUMBURG, IL","DRUG LAW VIOLATION","ADMIN CLOSED"
"01822-2024","5/21/24 12:11","5/21/24 12:11","1107 S SECOND ST","LIQUOR-UNDERAGE","ADMIN CLOSED"
"CSA24-084","5/21/24 15:47","4/23/2024 UNKNOWN","NON CAMPUS PROPERTY","STALKING","ADMIN CLOSED"
"CSA24-085","5/24/24 15:13","9/1/2023 - 3/8/2024","UNKNOWN LOCATION","DOMESTIC/RAPE/STALKING","ADMIN CLOSED"
"I24-08986","5/24/24 5:53","5/24/24 5:53","SECOND ST/GREEN ST, CH","ROBBERY","ADMIN CLOSED"
"FI24002557","5/3/24 23:09","5/3/24 23:09","508 S FIRST ST, CHAMPAIGN","LIQUOR-UNDERAGE","ADMIN CLOSED"
"FI24002568","5/4/24 13:42","5/4/24 13:42","KAMS","SIMPLE ASSAULT","ADMIN CLOSED"
"FI24002560","5/4/24 1:57","5/4/24 1:57","RED LION","FRAUD","ADMIN CLOSED"
"FI24002578","5/5/24 17:47","5/5/24 17:47","DOMINOS PIZZA","MOTOR VEHICLE THEFT","ADMIN CLOSED"
"FI24002576","5/5/24 5:38","5/5/24 5:38","59 E GREEN ST, CHAMPAIGN","THEFT","ADMIN CLOSED"
"FI24002582","5/6/24 9:51","5/6/24 9:51","2560 S STONE CREEK BL, URBANA","CRIMINAL DAMAGE","ADMIN CLOSED"
"CSA24-070","5/7/24 13:57","4/29/2024 8:48","ON CAMPUS RES HALL","STALKING","ADMIN CLOSED"
"FI24002588","5/7/24 2:08","5/7/24 2:08","909 S THIRD ST, CHAMPAIGN","SIMPLE ASSAULT","ADMIN CLOSED"
"CSA24-072","5/9/24 11:48","SPRING OF 2024","ON CAMPUS","STALKING/DOMESTIC","ADMIN CLOSED"
"CSA24-073","5/9/24 11:50","FEB 24 - MAY 24","ON CAMPUS RES HALL","RAPE","ADMIN CLOSED"
"FI24002604","5/9/24 17:13","5/9/24 17:13","29 E GREEN ST, CHAMPAIGN","STALKING/EXTORTION","ADMIN CLOSED"
"CSA24-071","5/9/24 9:53","4/1/2024 UNKNOWN","UNKNOWN LOCATION","STALKING","ADMIN CLOSED"
"LT23-005","6/11/24 9:04","10/1/23-10/6/23","6110 S YALE AV, TULSA, OK","RAPE","ADMIN CLOSED"
"LT23-006","6/11/24 9:04","10/1/23-10/6/23","6110 S YALE AV, TULSA, OK","DOMESTIC","ADMIN CLOSED"
"S23-00529","6/12/2024 14:13","1/7/2023 23:55","FIRST ST/CURTIS RD, SAVOY","LIQUOR LAW VIOLATION","ADMIN CLOSED"
"S23-22274","6/12/2024 14:13","9/7/2023 0:26","DUNLAP RD/1000N, SAVOY","DRUG LAW VIOLATION","ADMIN CLOSED"
"S23-22274","6/12/2024 14:13","9/7/2023 0:26","DUNLAP RD/1000N, SAVOY","DRUG LAW VIOLATION","ADMIN CLOSED"
"S23-29982","6/12/2024 14:13","12/1/2023 20:15","CHURCH ST/FIRST ST, SAVOY","DRUG LAW VIOLATION","ADMIN CLOSED"
"S23-30048","6/12/2024 14:13","12/2/2023 23:08","WESLEY AVE/CURTIS RD, SAVOY","LIQUOR LAW VIOLATION","ADMIN CLOSED"
"FI24002741","6/12/24 21:52","6/12/24 21:52","903 S FIRST ST, CHAMPAIGN IL","DRUG LAW VIOLATION","ADMIN CLOSED"
"FI24002761","6/19/24 10:17","6/19/24 10:17","33 SPRINGFIELD AV, CHAMPAIGN IL","THEFT","ADMIN CLOSED"
"CSA24-088","6/3/24 13:19","FEBRUARY 2024 - MAY 2024","ON CAMPUS","STALKING","ADMIN CLOSED"
"FI24002716","6/5/24 5:50","6/5/24 5:50","1301 SPRINGFIELD AV, URBANA","CRIMINAL DAMAGE","ADMIN CLOSED"
"CSA24-090","6/6/24 14:42","9/8/2023 UNKNOWN","ON CAMPUS RES HALL","RAPE","ADMIN CLOSED"
"CSA24-092","6/6/24 16:22","2020-2024 UNKNOWN","ON CAMPUS","STALKING","ADMIN CLOSED"
"CSA24-091","6/7/24 11:24","UNKNOWN","ON CAMPUS","STALKING","ADMIN CLOSED"